data,time,description
2026.1.12,3
2026.1.14,3
2026.1.15,3
2026.1.16,4
2026.1.17,8,首次打包
2026.1.18,3,完善颜色采集三个关卡，添加音效
2026.1.19,3,完善红线危机三个关卡，修复放大比例，添加得分音效
2026.1.20,5,对复用模块进行抽象，优化代码结构，增加8人支持，优化手柄支持，颜色管理优化
2026.1.21,5,解决加载顺序错误问题，加载动画和游戏小提示优化，开场动画优化，操作优化，补充多个音效
2026.1.22,6,增加结束动画，操作提示优化，危险通道关卡，增加竞技模式，添加排行榜
2026.1.23,2,隐藏调试面板，优化web手柄，添加暂停菜单
2026.3.4,1,全工程刷新与移动逻辑统一：将主页与全部关卡接入同一套固定 60Hz 调度、移除动态渲染帧率设置并清理冗余代码
2026.3.5,3,优化统一帧调度手感，上调移动跳跃参数，收紧跳跃重力。新增全局FPS浮层。主页面优化开场流程，修复闪帧。颜色收集页视觉调优，新增风格与扫描线开关，改善光照强度。
2026.3.6,6,重构架构，单一入口，公用内存
2026.3.11,2,修复ai重构的遗留问题（重新修复启动遮罩，修复手柄输入问题），对主页面作逻辑分离
2026.3.13,3,ControlHint 模块梳理与瘦身，主菜单 UI 拆出，底部控制提示与 N 键返回、二维码弹窗等从 `mainEntry.js` 抽到 `mainMenuUI.js`
2026.3.15,6,场景内 UI 与玩家序号显示规范化，分离至类与每场景实例，提升可维护性
